"Country Name","Currency Name","Currency Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Notes"
"Greece","euro","EUR","","","","","","","","","","","","","","","",""
"Greenland","danish kroner","DKK","","",7.89,6.59,5.99,6,5.95,5.44,5.1,5.36,5.62,5.37,"","","",""
"Grenada","east caribbean dollar","XCD","","",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Guam","us dollar","USD","","","","","","","","","","","","","","","",""
"Guatemala","quetzales","GTQ ","","",7.82,7.94,7.95,7.63,7.6,7.67,7.56,8.16,8.06,7.79,"","","",""
"Guinea","guinean franc","GNF ","","",1975.84,1984.93,2243.93,3644.33,5148.75,4197.75,4601.69,4801.08,5726.07,6620.84,"","","",""
"Guinea-Bissau","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Guyana","guyanese dollar","GYD ","","",190.67,193.88,198.31,199.88,200.19,202.35,203.63,203.95,203.64,204.01,"","","",""
"Haiti","gourde","HTG ","","",29.25,42.37,38.35,40.45,40.41,36.86,39.11,41.2,39.8,40.52,"","","",""
"Honduras","lempiras","HNL ","","",16.43,17.35,18.21,18.83,18.9,18.9,18.9,18.9,18.9,18.9,"","","",""
"Hong Kong SAR  China","hong kong dollar","HKD","","",7.8,7.79,7.79,7.78,7.77,7.8,7.79,7.75,7.77,7.78,"","","",""
"Hungary","forints","HUF ","","",257.89,224.31,202.75,199.58,210.39,183.63,172.11,202.34,207.94,201.06,"","","",""
"Iceland","icelandic kroner","ISK ","","",91.66,76.71,70.19,62.98,70.18,64.06,87.95,123.64,122.24,115.95,"","","",""
"India","rupee","INR ","","",48.61,46.58,45.32,44.1,45.31,41.35,43.51,48.41,45.73,46.67,"","","",""
"Indonesia","indonesian rupiah","IDR ","","",9311.19,8577.13,8938.85,9704.74,9159.32,9141,9698.96,1389.94,9090.43,8770.43,"","","",""
"Iran  Islamic Rep.","iranian rial","IRR","","",6907.06,8193.89,8613.99,8963.96,9170.94,9281.15,9428.53,9864.3,1254.18,1616.31,"","","",""
"Iraq","iraqi dinar","IQD ","","",0.31,2133.78,1453.42,1472,1467.42,1254.57,1193.08,1170,1170,1170,"","","",""
"Ireland","euro","EUR","","","","","","","","","","","","","","","",""
"Isle of Man","british pound","GBP","","",0.67,0.61,0.55,0.55,0.54,0.5,0.54,0.64,0.65,0.62,"","","",""
"Israel","israeli shekel","ILS","","",4.74,4.55,4.48,4.49,4.46,4.11,3.59,3.93,3.74,3.58,"","","",""
"Italy","euro","EUR","","","","","","","","","","","","","","","",""
"Jamaica","jamaican dollars","JMD ","","",48.42,57.74,61.2,62.28,65.74,69.19,72.76,87.89,87.2,85.89,"","","",""
"Japan","yen","JPY ","","",125.39,115.93,108.19,110.22,116.3,117.75,103.36,93.57,87.78,79.81,"","","",""
"Jordan","jordanian dinar","JOD ","","",0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,"","","",""
"Kazakhstan","tenge","KZT ","","",153.28,149.58,136.04,132.88,126.09,122.55,120.3,147.5,147.36,146.62,"","","",""
"Kenya","kenyan shilling","KES ","","",78.75,75.94,79.17,75.55,72.1,67.32,69.18,77.35,79.23,88.81,"","","",""
"Kiribati","australian dollar","AUD","","",1.84,1.54,1.36,1.31,1.33,1.2,1.19,1.28,1.09,0.97,"","","",""
"Korea  Dem. Rep.","north korean won","KPW","","","","","","","","","","","","","","","",""
"Korea  Rep.","south korean won","KRW","","",1251.09,1191.61,1145.32,1024.12,954.79,929.26,1102.05,1276.93,1156.06,1108.29,"","","",""
"Kosovo","euro","EUR","","","","","","","","","","","","","","","",""
"Kuwait","kuwaiti dinar","KWD ","","",0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.29,0.29,0.28,"","","",""
"Kyrgyz Republic","som","KGS","","",46.94,43.65,42.65,41.01,40.15,37.32,36.57,42.9,45.96,46.14,"","","",""
"Lao PDR","kip","LAK","","",1056.33,1569.04,1585.38,1655.17,1159.94,9603.16,8744.22,8516.05,8258.77,8058.4,"","","",""
"Latvia","lati","LVL ","","",0.62,0.57,0.54,0.56,0.56,0.51,0.48,0.51,0.53,0.5,"","","",""
