CATEGORY,FUNCTION,NAME,idcode,Device Utilization Rate,UseVialsLatency,UseVialsInterval,Latitude,Longitude,PowerOutageFrequencyPerYear,PowerOutageDurationSigma,SiteCostCur,PowerOutageDurationDays,SiteCostPerYear,SiteCostBaseYear,Inventory,Notes
Trader,Distribution,Rameswarpur Market,3070101,1.0,0.0,7.0,20.419313,86.2742614,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Maligan Market,3070102,1.0,0.0,7.0,20.4388359,86.1796262,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nemala Market,3070103,1.0,0.0,7.0,20.4360527,86.1749083,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nischintakoili Market,3070104,1.0,0.0,7.0,20.4791011,86.1847117,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sukarapada Market,3070105,1.0,0.0,7.0,20.4897213,86.2285536,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Muguria Market,3070106,1.0,0.0,7.0,20.3784265,86.2399844,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Balisahi Market,3070107,1.0,0.0,7.0,20.4689668,86.0962783,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Bhimdaspur Market,3070108,1.0,0.0,7.0,20.5430505,86.1172871,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Lunahar Market,3070109,1.0,0.0,7.0,20.4827769,86.1153776,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gopinathpur Market,3070110,1.0,0.0,7.0,20.4685112,85.9457837,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Satyabhamapur Market,3070111,1.0,0.0,7.0,20.2487514,85.8933908,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Katarapa Market,3070112,1.0,0.0,7.0,20.521045,86.0975518,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kulinda Market,3070113,1.0,0.0,7.0,20.5026957,86.009606,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Laxminarayanapur Market,3070114,1.0,0.0,7.0,20.4969808,86.0198103,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Basudeipur Market,3070115,1.0,0.0,7.0,20.624892,86.152124,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Malasasan Market,3070116,1.0,0.0,7.0,20.568464,86.0899103,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nandola Market,3070117,1.0,0.0,7.0,20.484007,86.120222,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Narada Market,3070118,1.0,0.0,7.0,20.553093,86.07248,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Odasingh Market,3070119,1.0,0.0,7.0,20.5396491,86.0981886,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Madhanga Market,3070120,1.0,0.0,7.0,20.5280705,86.1459216,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Raisunguda Market,3070121,1.0,0.0,7.0,20.519226,86.148273,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,Alternate spelling: Rai Sunghra
Trader,Distribution,Rameswar Market,3070122,1.0,0.0,7.0,20.0211929,85.5174488,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kisinapur Market,3070123,1.0,0.0,7.0,20.502051,86.046587,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sauri Market,3070124,1.0,0.0,7.0,20.5023395,86.059333,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sapanapur Market,3070125,1.0,0.0,7.0,20.61831,85.929177,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gothamira Market,3070126,1.0,0.0,7.0,20.4584148,86.0899103,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Agrahat Market,3070127,1.0,0.0,7.0,20.5538574,85.9074526,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
