From,To,Seconds,Meters
1070003,3070099,7585,92211
1070003,3070100,6309,79701
1070003,3070101,8133,97200
1070003,3070102,7815,85314
1070003,3070103,7817,85339
1070003,3070104,7237,80874
1070003,3070105,7695,86192
1070003,3070106,7113,88422
1070003,3070107,6641,73431
1070003,3070108,7501,88906
1070003,3070109,6614,73545
1070003,3070110,4826,56545
1070003,3070111,5626,69699
1070003,3070112,7296,85986
1070003,3070113,5546,63723
1070003,3070114,5570,63929
1070003,3070115,7696,99809
1070003,3070116,6588,79069
1070003,3070117,6646,73933
1070003,3070118,6331,76170
1070003,3070119,7734,91085
1070003,3070120,7220,79773
1070003,3070121,7107,79085
1070003,3070122,4923,57520
1070003,3070123,5966,67321
1070003,3070124,6089,68316
1070003,3070125,6129,70438
1070003,3070126,6691,74070
1070003,3070127,5155,62549
1070003,3070128,5196,61420
1070003,3070129,5483,67971
1070003,3070130,5776,72243
1070003,3070131,2244,26742
1070003,3070132,3439,40589
1070003,3070133,3356,38765
1070003,3070134,5086,62032
1070003,3070135,5145,62502
1070003,3150008,4547,57162
1070003,3150009,6293,79279
1070003,3070138,5750,66772
1070003,3070139,2626,30080
1070003,3070140,2101,25033
1070003,3150013,7764,90253
1070003,3150014,6514,76903
1070003,3150015,7392,85954
1070003,3150016,7349,85476
1070003,3150017,7301,84945
1070003,3150018,6967,80584
1070003,3150019,8006,91298
1070003,3150020,7605,73396
1070003,3150021,6594,82418
1070003,3150022,6906,99746
1070003,3150023,-1,-1
1070003,3150024,6931,97927
1070003,3150025,-1,-1
1070003,3150026,-1,-1
1070003,3150027,7802,107188
1070003,3150028,7670,106341
1070003,3150029,7520,99629
1070003,3150030,-1,-1
1070003,3150031,7879,109111
1070003,3150032,7879,109111
1070003,3150033,-1,-1
1070003,3150034,7879,109111
1070003,3150035,-1,-1
1070003,3150036,6465,89822
1070003,3150037,8342,112912
1070003,3150038,8360,106830
1070003,3150039,8230,105778
1070003,3150040,8090,111837
1070003,3150041,8342,112919
1070003,3150042,8342,112919
1070003,3150043,2563,26780
1070003,3150044,2542,24866
1070003,3150045,6009,66251
1070003,3150046,3862,38996
1070003,3150047,6080,67959
1070003,3150048,5621,64572
1070003,3150049,6028,67727
1070003,3150050,2239,19451
1070003,3150051,3634,35084
1070003,3150012,7070,83747
1070003,3150053,950,8840
1070003,3150054,2833,30539
1070003,3150055,2779,29892
1070003,3150056,5456,60550
1070003,3150057,3982,47699
1070003,3150058,5960,73420
1070003,3150059,5933,73214
1070003,3150060,4806,50203
1070003,3150061,4970,51418
1070003,3150062,4946,51254
1070003,3150063,5020,51747
1070003,3150064,4970,51414
1070003,3150065,5358,54356
1070003,3150066,5430,54838
1070003,3150067,5049,52529
1070003,3150068,4862,51589
1070003,3150069,4002,45240
1070003,3150070,2465,25263
1070003,3150071,3387,34238
1070003,3150072,4388,48399
1070003,3150073,3123,28097
1070003,3150074,7660,112934
1070003,3150075,7677,113252
1070003,3150076,6766,92715
1070003,3150077,6548,89971
1070003,3150078,6972,94722
1070003,3150079,6525,83568
1070003,3150080,6941,85850
1070003,3150081,4919,47704
1070003,3150082,4854,47483
1070003,3150083,4727,50932
1070003,3150084,5525,53817
1070003,3150085,5497,53681
1070003,3150086,5791,55806
1070003,3150087,4730,50123
1070003,3150088,4732,50133
1070003,3150089,4267,45234
1070003,3150090,4569,48745
1070003,3150091,5259,53517
1070003,3150092,4333,42849
1070003,3150093,4438,43925
1070003,3150094,2997,29359
1070003,3150095,-1,-1
1070003,3150096,4349,44799
1070003,3150097,4387,49229
1070003,3150098,4535,44868
1070003,3150099,6140,68464
1070003,3150100,3166,31799
1070003,3150101,3092,31505
1070003,3150102,3985,38376
1070003,3150103,6195,71321
1070003,3150104,6082,70030
1070003,3150105,5137,62210
1070003,3150106,6107,70342
1070003,3150107,6037,82221
1070003,3150108,5965,80468
1070003,3150109,6549,91056
1070003,3150110,6062,80872
1070003,3150111,5357,61586
1070003,3150112,5415,62269
1070003,3150113,5430,62423
1070003,3150114,5386,62610
1070003,3150115,5692,65468
1070003,3150116,5254,61197
1070003,3150117,6185,75663
1070003,3150118,4695,55705
1070003,3150119,5885,76276
1070003,3150052,3240,28541
1070003,3070136,4796,61597
1070003,3150003,4824,59311
1070003,3150004,4702,57761
1070003,3150010,6389,74477
1070003,3150005,5049,61164
1070003,3150006,5465,64670
1070003,3150011,5841,66794
1070003,3150007,4589,56417
1150001,3150009,1992,23487
1150001,3070129,3153,40123
1150001,3070130,3447,44395
1150001,3070001,4144,47517
1150001,3070002,3940,53127
1150001,3070003,3858,52468
1150001,3070004,-1,-1
1150001,3070005,4328,47851
1150001,3070006,3799,50825
1150001,3070007,7794,93228
1150001,3070008,8000,94340
1150001,3070009,6365,78203
1150001,3070010,7249,86626
1150001,3070011,8339,99672
1150001,3070012,7031,84860
1150001,3070013,6039,71088
1150001,3070014,6391,71164
1150001,3070015,5567,69558
1150001,3070016,6060,68223
1150001,3070017,4954,56521
1150001,3070018,5390,62603
1150001,3070019,6393,70856
1150001,3070020,6379,70750
1150001,3070021,5838,67044
1150001,3070022,1881,21468
1150001,3070023,4885,56948
1150001,3070024,5003,59192
1150001,3070025,2752,32558
1150001,3070026,3365,33294
1150001,3070027,5161,62493
1150001,3070028,5232,60269
1150001,3070029,3451,42713
1150001,3070030,4329,54971
1150001,3070031,4715,51714
1150001,3070032,5215,60108
1150001,3070033,1557,19212
1150001,3070034,1798,15275
1150001,3070035,2032,16177
1150001,3070036,1726,20821
1150001,3070037,908,6765
1150001,3070038,1121,9656
1150001,3070039,2792,30987
1150001,3070040,2785,33296
1150001,3070041,2630,30899
1150001,3070042,3227,37751
1150001,3070043,2907,34620
1150001,3070044,4094,44795
1150001,3070045,3660,44576
1150001,3070046,3906,47520
1150001,3070047,2108,21164
1150001,3070048,2620,25389
1150001,3070049,1750,18230
1150001,3070050,2310,23037
1150001,3070051,1481,12846
1150001,3070052,1707,15886
1150001,3070053,1376,13725
1150001,3070054,1390,12467
1150001,3070055,2089,21554
1150001,3070056,2599,25491
1150001,3070057,2686,27123
1150001,3070058,2601,26296
1150001,3070059,2558,25872
1150001,3070060,2471,26829
1150001,3070061,1542,16018
1150001,3070062,2388,20734
1150001,3070063,2884,27506
1150001,3070064,2839,27302
1150001,3070065,6292,64659
1150001,3070066,6119,62113
1150001,3070067,6521,66425
1150001,3070068,4897,60515
1150001,3070069,4491,56629
1150001,3070070,968,6685
1150001,3070071,5346,64405
1150001,3070072,5377,56582
1150001,3070073,6144,62318
1150001,3070074,9247,104618
1150001,3070075,11293,126434
1150001,3070076,11220,125531
1150001,3070077,8641,102966
1150001,3070078,8824,105078
1150001,3070079,9731,110501
1150001,3070080,2691,25922
1150001,3070081,3965,39128
1150001,3070082,3480,36413
1150001,3070083,2921,27774
1150001,3070084,3052,29403
1150001,3070085,2828,27597
1150001,3070086,4166,42586
1150001,3070087,4823,48026
1150001,3070088,3799,40565
1150001,3070089,2939,31873
1150001,3070090,3038,32707
1150001,3070091,5738,55317
1150001,3070092,1408,16078
1150001,3070093,4339,41925
1150001,3070094,4032,36460
1150001,3070095,6130,71186
1150001,3070096,4767,50136
1150001,3070097,6259,64491
1150001,3070098,5567,60738
1150001,3070099,5256,64363
1150001,3070100,5160,78359
1150001,3070101,5803,69352
1150001,3070102,5485,57466
1150001,3070103,5487,57491
1150001,3070104,4907,53026
1150001,3070105,5366,58344
1150001,3070106,4783,60574
1150001,3070107,4311,45583
1150001,3070108,5171,61058
1150001,3070109,4285,45697
1150001,3070110,2496,28697
1150001,3070111,1089,7807
1150001,3070112,4966,58138
1150001,3070113,3216,35875
1150001,3070114,3240,36081
1150001,3070115,5366,71960
1150001,3070116,4259,51221
1150001,3070117,4316,46085
1150001,3070118,4001,48321
1150001,3070119,5404,63237
1150001,3070120,4891,51925
1150001,3070121,4778,51237
1150001,3070122,3774,56178
1150001,3070123,3636,39473
1150001,3070124,3759,40468
1150001,3070125,3800,42589
1150001,3070126,4361,46222
1150001,3070127,2845,35021
1150001,3070128,3398,40172
1150001,3150001,836,5966
1150001,3150002,843,6027
1150001,3070131,5343,67356
1150001,3070132,3994,49730
1150001,3070133,4029,43843
1150001,3070134,2756,34183
1150001,3070135,2815,34653
1150001,3150008,920,7363
1150001,3070137,3442,38528
1150001,3070138,3442,38528
1150001,3070139,5726,70694
1150001,3070140,5201,65647
1150001,3150013,3707,31037
1150001,3150014,2032,17809
1150001,3150015,2910,26860
1150001,3150016,2867,26383
1150001,3150017,2819,25851
1150001,3150018,2485,21491
1150001,3150019,3949,32082
1150001,3150020,3206,38750
1150001,3150021,2292,26626
1150001,3150022,5757,98405
1150001,3150023,-1,-1
1150001,3150024,5782,96586
1150001,3150025,-1,-1
1150001,3150026,-1,-1
1150001,3150027,6652,105846
1150001,3150028,6521,104999
1150001,3150029,6371,98287
1150001,3150030,-1,-1
1150001,3150031,6730,107769
1150001,3150032,6730,107769
1150001,3150033,-1,-1
1150001,3150034,6730,107769
1150001,3150035,-1,-1
1150001,3150036,5316,88481
1150001,3150037,7192,111570
1150001,3150038,7211,105489
1150001,3150039,7080,104436
1150001,3150040,6941,110495
1150001,3150041,7193,111577
1150001,3150042,7193,111577
1150001,3150043,4403,52783
1150001,3150044,4503,53206
1150001,3150045,5229,71477
1150001,3150046,5702,64999
1150001,3150047,4930,66617
1150001,3150048,4472,63230
1150001,3150049,4879,66385
1150001,3150050,4775,55892
1150001,3150051,3793,48309
1150001,3150012,2722,22862
1150001,3150053,5198,59947
1150001,3150054,4673,56543
1150001,3150055,4619,55895
1150001,3150056,4914,68713
1150001,3150057,2631,30233
1150001,3150058,1658,17627
1150001,3150059,1632,17422
1150001,3150060,2005,23271
1150001,3150061,2169,24486
1150001,3150062,2145,24322
1150001,3150063,2219,24815
1150001,3150064,2169,24482
1150001,3150065,1686,18063
1150001,3150066,1757,18550
1150001,3150067,1847,19198
1150001,3150068,1749,20257
1150001,3150069,5842,71243
1150001,3150070,4678,55728
1150001,3150071,5227,60241
1150001,3150072,6228,74402
1150001,3150073,5369,63086
1150001,3150074,6511,111593
1150001,3150075,6528,111910
1150001,3150076,5617,91373
1150001,3150077,5399,88630
1150001,3150078,5823,93381
1150001,3150079,5376,82226
1150001,3150080,5791,84509
1150001,3150081,3536,38698
1150001,3150082,3604,44596
1150001,3150083,1926,24000
1150001,3150084,2637,25804
1150001,3150085,2793,26992
1150001,3150086,2779,26817
1150001,3150087,1929,23191
1150001,3150088,1930,23201
1150001,3150089,2062,25982
1150001,3150090,1767,21813
1150001,3150091,2458,26584
1150001,3150092,3225,41541
1150001,3150093,3330,42617
1150001,3150094,3952,45434
1150001,3150095,-1,-1
1150001,3150096,3200,43457
1150001,3150097,3238,47887
1150001,3150098,3427,43560
1150001,3150099,4991,67122
1150001,3150100,3158,37903
1150001,3150101,3098,37263
1150001,3150102,2810,34811
1150001,3150103,5046,69979
1150001,3150104,4933,68688
1150001,3150105,3988,60868
1150001,3150106,4958,69000
1150001,3150107,4888,80879
1150001,3150108,4816,79126
1150001,3150109,5400,89714
1150001,3150110,4913,79530
1150001,3150111,4208,60244
1150001,3150112,4266,60928
1150001,3150113,4281,61081
1150001,3150114,4237,61268
1150001,3150115,4543,64126
1150001,3150116,4104,59855
1150001,3150117,5036,74322
1150001,3150118,2234,23012
1150001,3150119,4736,74934
1150001,3150052,4978,55906
1150001,3070136,2467,33749
1150001,3150003,220,1504
1150001,3150004,102,615
1150001,3150010,1958,13393
1150001,3150005,446,3357
1150001,3150006,932,7937
1150001,3150011,1238,8986
1150001,3150007,968,6685
5070001,4070001,4670,55044
5070001,4150002,4851,53225
5070001,4150001,5078,52514
5070001,4070002,7216,80556
5070001,4070003,4670,55044
5070001,4070004,3080,37569
5070001,4150003,4822,55432
5150002,4070001,8819,140596
5150002,4150002,5862,102413
5150002,4150001,6088,101702
5150002,4070002,11365,166108
5150002,4070003,8819,140596
5150002,4070004,7707,120771
5150002,4150003,6309,109120
1070001,3150114,6963,77184
1070001,3150001,5265,57190
1070001,3150002,5271,57251
1070001,3070001,3866,43794
1070001,3070002,1248,13452
1070001,3070003,1327,14110
1070001,3070004,-1,-1
1070001,3070005,908,9246
1070001,3070006,1503,16447
1070001,3070007,3781,40202
1070001,3070008,3987,41314
1070001,3070009,2352,25177
1070001,3070010,3236,33600
1070001,3070011,4326,46646
1070001,3070012,3018,31834
1070001,3070013,3629,38099
1070001,3070014,4678,46049
1070001,3070015,1554,16532
1070001,3070016,4930,48986
1070001,3070017,778,5982
1070001,3070018,4864,48384
1070001,3070019,4806,47209
1070001,3070020,4792,47104
1070001,3070021,4771,48082
1070001,3070022,3830,37931
1070001,3070023,4563,48060
1070001,3070024,4910,50007
1070001,3070025,2323,24361
1070001,3070026,5193,54246
1070001,3070027,2751,29503
1070001,3070028,3111,33894
1070001,3070029,1994,24387
1070001,3070030,1919,21981
1070001,3070031,2907,30703
1070001,3070032,3128,34055
1070001,3070033,3028,33646
1070001,3070034,4959,54756
1070001,3070035,4954,51666
1070001,3070036,2998,32721
1070001,3070037,4436,51314
1070001,3070038,4649,54205
1070001,3070039,2461,24617
1070001,3070040,1839,19597
1070001,3070041,2285,23489
1070001,3070042,5330,64464
1070001,3070043,5010,61333
1070001,3070044,6198,71508
1070001,3070045,5763,71288
1070001,3070046,6010,74233
1070001,3070047,5636,65712
1070001,3070048,6148,69938
1070001,3070049,5278,62779
1070001,3070050,5838,67586
1070001,3070051,5009,57395
1070001,3070052,5235,60435
1070001,3070053,4904,58274
1070001,3070054,4918,57016
1070001,3070055,5617,66103
1070001,3070056,6127,70040
1070001,3070057,5804,60320
1070001,3070058,5889,61147
1070001,3070059,5932,61571
1070001,3070060,2795,27922
1070001,3070061,5070,60567
1070001,3070062,5550,60215
1070001,3070063,6412,72055
1070001,3070064,6367,71850
1070001,3070065,7636,97969
1070001,3070066,7479,82701
1070001,3070067,7425,96384
1070001,3070068,5852,69167
1070001,3070069,5446,65280
1070001,3070070,4414,49833
1070001,3070071,6301,73056
1070001,3070072,6737,77170
1070001,3070073,7505,82907
1070001,3070074,5526,59817
1070001,3070075,7572,81633
1070001,3070076,7499,80730
1070001,3070077,4628,49940
1070001,3070078,4812,52052
1070001,3070079,5776,80531
1070001,3070080,6219,70471
1070001,3070081,7493,83677
1070001,3070082,7008,80962
1070001,3070083,6449,72323
1070001,3070084,6580,73952
1070001,3070085,6356,72146
1070001,3070086,7694,87134
1070001,3070087,8351,92575
1070001,3070088,7327,85114
1070001,3070089,6467,76422
1070001,3070090,6566,77256
1070001,3070091,9266,99866
1070001,3070092,5534,65287
1070001,3070093,7867,86474
1070001,3070094,7560,81008
1070001,3070095,7824,82335
1070001,3070096,6233,67158
1070001,3070097,7725,81513
1070001,3070098,7034,77760
1070001,3070099,7359,91076
1070001,3070100,7886,94276
1070001,3070101,7942,84850
1070001,3070102,6951,74488
1070001,3070103,6953,74513
1070001,3070104,6374,70048
1070001,3070105,6832,75366
1070001,3070106,6886,87287
1070001,3070107,5777,62605
1070001,3070108,6126,69709
1070001,3070109,5751,62719
1070001,3070110,3962,45719
1070001,3070111,5451,63116
1070001,3070112,5921,66789
1070001,3070113,4682,52897
1070001,3070114,4706,53103
1070001,3070115,6321,80612
1070001,3070116,5214,59872
1070001,3070117,5782,63107
1070001,3070118,4956,56973
1070001,3070119,6359,71888
1070001,3070120,6357,68947
1070001,3070121,6244,68259
1070001,3070122,6500,72094
1070001,3070123,5102,56495
1070001,3070124,5226,57490
1070001,3070125,4484,48925
1070001,3070126,5827,63244
1070001,3070127,3079,37578
1070001,3070128,3120,36448
1070001,3070129,4108,48774
1070001,3070130,4402,53047
1070001,3070131,1330,14330
1070001,3070132,1385,15657
1070001,3070133,1302,13834
1070001,3070134,3441,40519
1070001,3070135,3499,40989
1070001,3150008,4371,50579
1070001,3070137,3674,41801
1070001,3070138,3674,41801
1070001,3070139,1713,17668
1070001,3070140,1188,12621
1070001,3150013,7589,83670
1070001,3150014,6338,70319
1070001,3150015,7216,79370
1070001,3150016,7173,78893
1070001,3150017,7126,78362
1070001,3150018,6791,74001
1070001,3150019,7831,84715
