location ID,district,block,gram panchayat,village,display name,latitude,longitude,notes: re location,supply chain level,function,sector,fixed/mobile,operating schedule,hectares under cultivation for potatoes,total population in village
3070044,Cuttack,Cuttack Sadar,Kisannagar,Kesannagar,"Weekly Market, Kesannagar",20.4272154,86.091184,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2108
3070045,Cuttack,Cuttack Sadar,Kisannagar,Santarapur,"Weekly Market, Santarapur",20.415401,86.084646,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1381
3070046,Cuttack,Cuttack Sadar,Praharajpur,Praharajpur,"Weekly Market, Praharajpur",20.3860332,86.1115583,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4231
3070047,Cuttack,Kantapada,Adaspur,Adaspur,"Weekly Market, Adaspur",20.2192754,86.016043,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4320
3070048,Cuttack,Kantapada,Adaspur,Saleibedapur-III,"Weekly Market, Saleibedapur-III",20.2045132,86.038938,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1172
3070049,Cuttack,Kantapada,Badapatsundarpur,Badapatasundarpur,"Weekly Market, Badapatasundarpur",20.2883565,85.9993997,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,3152
3070050,Cuttack,Kantapada,Bagalpur,Badakhalagan,"Weekly Market, Badakhalagan",20.2661438,86.0032273,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,763
3070051,Cuttack,Kantapada,Bagalpur,Bagalpur,"Weekly Market, Bagalpur",20.2758811,85.9738752,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1775
3070052,Cuttack,Kantapada,Bagalpur,Baghua,"Weekly Market, Baghua",20.253287,85.968959,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,599
3070053,Cuttack,Kantapada,Bagalpur,Deuli,"Weekly Market, Deuli",20.2653874,85.9700454,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,442
3070054,Cuttack,Kantapada,Bagalpur,Sundargram,"Weekly Market, Sundargram",20.2766938,85.9646269,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1156
3070055,Cuttack,Kantapada,Brahmanabati,Badabil,"Weekly Market, Badabil",20.2713249,86.035113,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1165
3070056,Cuttack,Kantapada,Dimiri,Dimiri,"Weekly Market, Dimiri",20.2224665,86.0440375,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1368
3070057,Cuttack,Kantapada,Govindapur,Balipada,"Weekly Market, Balipada",20.322997,86.0162,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1114
3070058,Cuttack,Kantapada,Govindapur,Majurai,"Weekly Market, Majurai",20.317214,86.026567,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1086
3070059,Cuttack,Kantapada,Govindapur,Sankhua,"Weekly Market, Sankhua",20.311265,86.02168,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,387
3070060,Cuttack,Kantapada,Govindapur,Simalda,"Weekly Market, Simalda",20.455665,85.79484,Using Govindapur as a proxy,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,352
3070061,Cuttack,Kantapada,Kantapada,Kantapada,"Weekly Market, Kantapada",20.2510269,85.9825172,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2964
3070062,Cuttack,Kantapada,Nahalpur,Nahalpur,"Weekly Market, Nahalpur",20.32841,85.9955719,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1935
3070063,Cuttack,Kantapada,Uttarana,Babaja,"Weekly Market, Babaja",20.2287554,86.059333,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,570
3070064,Cuttack,Kantapada,Uttarana,Uttarana,"Weekly Market, Uttarana",20.2314433,86.046587,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2365
3070065,Cuttack,Mahanga,Bhadreswar,Gobindpur,"Weekly Market, Gobindpur",20.5301809,86.2425242,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1135
3070066,Cuttack,Mahanga,Gokana,Sukuapada,"Weekly Market, Sukuapada",20.560749,86.2288711,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,477
3070067,Cuttack,Mahanga,Haladia,Haladia,"Weekly Market, Haladia",20.5361304,86.2425242,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1826
3070068,Cuttack,Mahanga,Jaleswarpur,Jalasarpur,"Weekly Market, Jalasarpur",20.583466,86.1624587,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2306
3070069,Cuttack,Mahanga,Kuhunda,Kuhunda,"Weekly Market, Kuhunda",20.5952524,86.1573709,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2787
3070070,Cuttack,Mahanga,Kundi,Jagannathpur,"Weekly Market, Jagannathpur",20.327984,85.912565,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,870
3070071,Cuttack,Mahanga,Mahanga,Parsurampur,"Weekly Market, Parsurampur",20.5551751,86.1948813,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,593
3070072,Cuttack,Mahanga,Pallisahi,Pallisahi,"Weekly Market, Pallisahi",20.5409202,86.1891612,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1430
3070073,Cuttack,Mahanga,Podamarai,Podamarai,"Weekly Market, Podamarai",20.5673934,86.2437941,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,976
3070074,Cuttack,Narasinghpur,Bandhahuda,Barakoli,"Weekly Market, Barakoli",20.4661376,85.1265423,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,334
3070075,Cuttack,Narasinghpur,Basantapur,Janisahi,"Weekly Market, Janisahi",20.5419757,84.9466368,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1286
3070076,Cuttack,Narasinghpur,Basantapur,Jayamangalpur(Ka),"Weekly Market, Jayamangalpur(Ka)",20.534374,84.96785,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,259
3070077,Cuttack,Narasinghpur,Baselihat,Baselihata,"Weekly Market, Baselihata",20.4097293,85.2088319,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2772
3070078,Cuttack,Narasinghpur,Kanpur,Mardanpatana,"Weekly Market, Mardanpatana",20.414812,85.190363,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,375
3070079,Cuttack,Narasinghpur,Nizgarh,Harichandanpur,"Weekly Market, Harichandanpur",20.4689611,85.0947601,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,660
3070080,Cuttack,Niali,Anlo,Anlo-1,"Weekly Market, Anlo-1",20.1942503,86.0453123,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2209
3070081,Cuttack,Niali,Baharana,Barimundei,"Weekly Market, Barimundei",20.1420928,86.1064655,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1298
3070082,Cuttack,Niali,Bilasuni,Bilasuni,"Weekly Market, Bilasuni",20.1708821,86.0806753,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2524
3070083,Cuttack,Niali,Eranch,Erancha,"Weekly Market, Erancha",20.2423913,86.0708016,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2997
3070084,Cuttack,Niali,Kasarda,Kasarada,"Weekly Market, Kasarada",20.206639,86.076545,New search yields same result as old search,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2163
3070085,Cuttack,Niali,Kasarda,Patrakana,"Weekly Market, Patrakana",20.2200064,86.066979,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1555
3070086,Cuttack,Niali,Krushnaprasad,Nuasatanga,"Weekly Market, Nuasatanga",20.0831914,86.1319245,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1144
3070087,Cuttack,Niali,Krushnaprasad,Purunasatanga,"Weekly Market, Purunasatanga",20.0733491,86.1236517,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,196
3070088,Cuttack,Niali,Madhab,Madhaba,"Weekly Market, Madhaba",20.1004714,86.1064655,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2048
3070089,Cuttack,Niali,Niali,Niali,"Weekly Market, Niali",20.1410778,86.0606074,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,605
3070090,Cuttack,Niali,Niali,Pubakhanda,"Weekly Market, Pubakhanda",20.1292996,86.0657047,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,6081
3070091,Cuttack,Niali,Nivarana,Salapoi,"Weekly Market, Salapoi",20.0587771,86.1713611,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,181
3070092,Cuttack,Niali,Nuagaon,Nuagan,"Weekly Market, Nuagan",20.2142,85.838587,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4105
3070093,Cuttack,Niali,Pahanga,Pahanga,"Weekly Market, Pahanga",20.1544322,86.1268337,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,3165
