RouteName,idcode,LocName,Type,RouteOrder,TransitHours,TruckType,ShipIntervalDays,ShipLatencyDays,PullOrderAmountDays,DistanceKM,Conditions,Notes,PickupDelayMagnitude,PickupDelaySigma, PickupDelayFrequency,PerDiemType
r_1070007_3070038,3070038,Kurangsasan Market,SchedPush,1,0.15916666666666668,NA,7,NA,NA,7.032,NA,NA,NA,NA,NA,NA
r_1070005_3070039,1070005,Potato farms in Cuttack Sadar tehsil,SchedPush,0,0.26944444444444443,NA,7,NA,NA,7.296,NA,NA,NA,NA,NA,NA
r_1070005_3070039,3070039,Chakradharpur Market,SchedPush,1,0.26944444444444443,NA,7,NA,NA,7.296,NA,NA,NA,NA,NA,NA
r_1070005_3070040,1070005,Potato farms in Cuttack Sadar tehsil,SchedPush,0,0.2675,NA,7,NA,NA,9.606,NA,NA,NA,NA,NA,NA
r_1070005_3070040,3070040,Mundali Market,SchedPush,1,0.2675,NA,7,NA,NA,9.606,NA,NA,NA,NA,NA,NA
r_1070005_3070041,1070005,Potato farms in Cuttack Sadar tehsil,SchedPush,0,0.1736111111111111,NA,7,NA,NA,4.0040000000000004,NA,NA,NA,NA,NA,NA
r_1070005_3070041,3070041,Narajmarthapur Market,SchedPush,1,0.1736111111111111,NA,7,NA,NA,4.0040000000000004,NA,NA,NA,NA,NA,NA
r_1070012_3070042,1070012,Potato farms in Salipur tehsil,SchedPush,0,0.7158333333333333,NA,7,NA,NA,21.911,NA,NA,NA,NA,NA,NA
r_1070012_3070042,3070042,Jasapada Market,SchedPush,1,0.7158333333333333,NA,7,NA,NA,21.911,NA,NA,NA,NA,NA,NA
r_1070013_3070043,1070013,Potato farms in Tangi-Choudwar tehsil,SchedPush,0,0.7283333333333334,NA,7,NA,NA,31.099,NA,NA,NA,NA,NA,NA
r_1070013_3070043,3070043,Kamapur Market,SchedPush,1,0.7283333333333334,NA,7,NA,NA,31.099,NA,NA,NA,NA,NA,NA
r_1070012_3070044,1070012,Potato farms in Salipur tehsil,SchedPush,0,0.4527777777777778,NA,7,NA,NA,14.376,NA,NA,NA,NA,NA,NA
r_1070012_3070044,3070044,Kesannagar Market,SchedPush,1,0.4527777777777778,NA,7,NA,NA,14.376,NA,NA,NA,NA,NA,NA
r_1070012_3070045,1070012,Potato farms in Salipur tehsil,SchedPush,0,0.6019444444444444,NA,7,NA,NA,18.102,NA,NA,NA,NA,NA,NA
r_1070012_3070045,3070045,Santarapur Market,SchedPush,1,0.6019444444444444,NA,7,NA,NA,18.102,NA,NA,NA,NA,NA,NA
