Make,Model,Year,Energy,freezer,cooler,roomtemperature,Name,ClassName,ColdLifetime,AlarmDays,SnoozeDays,Notes
Sibir,V240EG,2003,E,30,68,,N_V240EG_2003_E,ElectricFridge,,,,
Solamatic,PVR150,2005,S,12,30,,N_PVR150_2005_S,Fridge,,,,
Thomson,DF4354,1996,E,0,0,,N_DF4354_1996_E,ElectricFridge,,,,
Traver,X,2003,G,0,0,,N_X_2003_G,Fridge,,,,
Traver,X,2004,G,0,0,,N_X_2004_G,Fridge,,,,
Vestfrost,MF304,1988,E,172,0,,N_MF304_1988_E,ElectricFridge,,,,
Vestfrost,MF304,1996,E,172,0,,N_MF304_1996_E,ElectricFridge,,,,
Vestfrost,MF304,1997,E,172,0,,N_MF304_1997_E,ElectricFridge,,,,
Vestfrost,MF304,1998,E,172,0,,N_MF304_1998_E,ElectricFridge,,,,
Vestfrost,MF304,1999,E,172,0,,N_MF304_1999_E,ElectricFridge,,,,
Vestfrost,MF304,2000,E,172,0,,N_MF304_2000_E,ElectricFridge,,,,
Vestfrost,MF304,2001,E,172,0,,N_MF304_2001_E,ElectricFridge,,,,
Vestfrost,MF304,2002,E,172,0,,N_MF304_2002_E,ElectricFridge,,,,
Vestfrost,MF304,2002,G,172,0,,N_MF304_2002_G,Fridge,,,,
Vestfrost,MF304,2003,E,172,0,,N_MF304_2003_E,ElectricFridge,,,,
Vestfrost,MF304,2004,E,172,0,,N_MF304_2004_E,ElectricFridge,,,,
Vestfrost,MF304,2004,G,172,0,,N_MF304_2004_G,Fridge,,,,
Vestfrost,MF304,2005,E,172,0,,N_MF304_2005_E,ElectricFridge,,,,
Vestfrost,MF304,2005,EnergyUnk,172,0,,N_MF304_2005_U,Fridge,,,,
Vestfrost,MF304,2005,G,172,0,,N_MF304_2005_G,Fridge,,,,
Vestfrost,MF304,2006,E,172,0,,N_MF304_2006_E,ElectricFridge,,,,
Vestfrost,MF304,2008,E,172,0,,N_MF304_2008_E,ElectricFridge,,,,
Vestfrost,MF304,YearUnk,E,172,0,,N_MF304_U_E,ElectricFridge,,,,
Vestfrost,MF304,YearUnk,EnergyUnk,172,0,,N_MF304_U_U,Fridge,,,,
Vestfrost,MF314,2001,E,264,0,,N_MF314_2001_E,ElectricFridge,,,,
Vestfrost,MF314,2002,E,264,0,,N_MF314_2002_E,ElectricFridge,,,,
Vestfrost,MF314,2003,E,264,0,,N_MF314_2003_E,ElectricFridge,,,,
Vestfrost,MF314,2004,E,264,0,,N_MF314_2004_E,ElectricFridge,,,,
Vestfrost,MF314,2004,G,264,0,,N_MF314_2004_G,Fridge,,,,
Vestfrost,MF314,2005,E,264,0,,N_MF314_2005_E,ElectricFridge,,,,
Vestfrost,MF314,2005,G,264,0,,N_MF314_2005_G,Fridge,,,,
Vestfrost,MF314,2006,E,264,0,,N_MF314_2006_E,ElectricFridge,,,,
Vestfrost,MF314,2007,E,264,0,,N_MF314_2007_E,ElectricFridge,,,,
Vestfrost,MF314,2008,E,264,0,,N_MF314_2008_E,ElectricFridge,,,,
Vestfrost,MF314,YearUnk,E,264,0,,N_MF314_U_E,ElectricFridge,,,,
Vestfrost,MK204,2000,G,0,63,,N_MK204_2000_G,Fridge,,,,
Vestfrost,MK302,1996,E,0,204,,N_MK302_1996_E,ElectricFridge,,,,
Vestfrost,MK302,1998,E,0,204,,N_MK302_1998_E,ElectricFridge,,,,
Vestfrost,MK302,2001,E,0,204,,N_MK302_2001_E,ElectricFridge,,,,
Vestfrost,MK302,YearUnk,E,0,204,,N_MK302_U_E,ElectricFridge,,,,
Vestfrost,MK304,2008,E,0,108,,N_MK304_2008_E,ElectricFridge,,,,
Vestfrost,SB142,1996,E,0,40,,N_SB142_1996_E,ElectricFridge,,,,
Zanussii,ZD4400,2006,E,0,0,,N_ZD4400_2006_E,ElectricFridge,,,,
Zanussii,ZD4400,YearUnk,E,0,0,,N_ZD4400_U_E,ElectricFridge,,,,
Zero,PR245EK,2003,E,14,18,,N_PR245EK_2003_E,ElectricFridge,,,,
Zero,PR245EK,2004,P,14,18,,N_PR245EK_2004_P,Fridge,,,,
